backend,backend_status,campaign_id,campaign_type,case_id,counts,discretization_error,expected_p_k,family,fetch_status,fetched_utc,function_kind,grid_points,group_id,job_id,k,ks,logical_metrics,m_objective,num_qubits,optimization_level,p_abs_dev,p_hat,prepared_utc,purpose,qasm_path,quadrature_value,rule,runtime_options,seed,shots,submitted,submitted_utc,transpile_seconds,transpiled_metrics,transpiled_two_qubit_depth,true_integral,usage_before_submission
ibm_aachen,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase15b_quadrature_microcampaign_ibm_aachen,quadrature_qae_mlae,g1,"{""000"": 491, ""001"": 176, ""010"": 370, ""011"": 26, ""100"": 27, ""101"": 324, ""110"": 145, ""111"": 489}",1.3322676295501878e-15,0.5000000000000001,calibration,DONE,2026-08-12T10:44:44.882635+00:00,sin2_half,4,g1_n2_midpoint,d9u22d25hi5c73b1bjqg,0,"[0, 1]","{""depth"": 3, ""multi_qubit_gate_count"": 1, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 2, ""operation_counts"": {""h"": 2, ""measure"": 3, ""ucry"": 1}, ""size"": 6, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 6}",985,2,2,0.01904296875000011,0.48095703125,2026-08-12T07:30:52.399565+00:00,cross-backend repeat of the stable non-degenerate calibration quadrature case,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase15b_quadrature_microcampaign_ibm_aachen/20260812T073051Z/circuits/g1_n2_midpoint_k0.qasm,0.5,midpoint,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,True,2026-08-12T07:31:00.545687+00:00,0.5389692499302328,"{""depth"": 18, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 19, ""operation_counts"": {""cz"": 4, ""measure"": 3, ""rz"": 10, ""sx"": 7, ""x"": 2}, ""size"": 26, ""swap_count"": 0, ""two_qubit_gate_count"": 4, ""width"": 159}",4,0.5000000000000013,"{""estimated_remaining_seconds"": 3041.0, ""usage_allocation_seconds"": 3240, ""usage_consumed_seconds"": 199, ""usage_limit_reached"": false, ""usage_limit_seconds"": null, ""usage_period"": {""end_time"": ""2027-08-03T14:54:00.000Z"", ""start_time"": ""2026-08-03T14:54:00.000Z""}}"
ibm_aachen,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase15b_quadrature_microcampaign_ibm_aachen,quadrature_qae_mlae,g1,"{""000"": 239, ""001"": 272, ""010"": 299, ""011"": 191, ""100"": 311, ""101"": 244, ""110"": 230, ""111"": 262}",1.3322676295501878e-15,0.4999999999999996,calibration,DONE,2026-08-12T10:44:45.336600+00:00,sin2_half,4,g1_n2_midpoint,d9u22d6cseuc73f2h41g,1,"[0, 1]","{""depth"": 11, ""multi_qubit_gate_count"": 4, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 15, ""operation_counts"": {""ccx"": 1, ""h"": 8, ""measure"": 3, ""ucry"": 2, ""ucry_dg"": 1, ""x"": 6, ""z"": 1}, ""size"": 22, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 6}",1047,2,2,0.011230468750000389,0.51123046875,2026-08-12T07:30:52.409529+00:00,cross-backend repeat of the stable non-degenerate calibration quadrature case,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase15b_quadrature_microcampaign_ibm_aachen/20260812T073051Z/circuits/g1_n2_midpoint_k1.qasm,0.5,midpoint,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,True,2026-08-12T07:31:00.997305+00:00,0.008556625107303262,"{""depth"": 72, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 72, ""operation_counts"": {""cz"": 19, ""measure"": 3, ""rz"": 33, ""sx"": 38, ""x"": 1}, ""size"": 94, ""swap_count"": 0, ""two_qubit_gate_count"": 19, ""width"": 159}",19,0.5000000000000013,"{""estimated_remaining_seconds"": 3041.0, ""usage_allocation_seconds"": 3240, ""usage_consumed_seconds"": 199, ""usage_limit_reached"": false, ""usage_limit_seconds"": null, ""usage_period"": {""end_time"": ""2027-08-03T14:54:00.000Z"", ""start_time"": ""2026-08-03T14:54:00.000Z""}}"
ibm_aachen,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase15b_quadrature_microcampaign_ibm_aachen,quadrature_qae_mlae,g2,"{""000"": 414, ""001"": 80, ""010"": 85, ""011"": 427, ""100"": 82, ""101"": 414, ""110"": 450, ""111"": 96}",0.0,0.5000000000000001,calibration,DONE,2026-08-12T10:44:45.704066+00:00,sin2,4,g2_n2_midpoint,d9u22dcrrr5c73blbeb0,0,"[0, 1, 2]","{""depth"": 3, ""multi_qubit_gate_count"": 1, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 2, ""operation_counts"": {""h"": 2, ""measure"": 3, ""ucry"": 1}, ""size"": 6, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 6}",1042,2,2,0.008789062499999889,0.5087890625,2026-08-12T07:30:52.428687+00:00,cross-backend repeat of the quadratic angle-structured calibration with k=2,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase15b_quadrature_microcampaign_ibm_aachen/20260812T073051Z/circuits/g2_n2_midpoint_k0.qasm,0.5,midpoint,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,True,2026-08-12T07:31:01.466757+00:00,0.0038439580239355564,"{""depth"": 14, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 12, ""operation_counts"": {""cz"": 4, ""measure"": 3, ""rz"": 7, ""sx"": 5}, ""size"": 19, ""swap_count"": 0, ""two_qubit_gate_count"": 4, ""width"": 159}",4,0.5,"{""estimated_remaining_seconds"": 3041.0, ""usage_allocation_seconds"": 3240, ""usage_consumed_seconds"": 199, ""usage_limit_reached"": false, ""usage_limit_seconds"": null, ""usage_period"": {""end_time"": ""2027-08-03T14:54:00.000Z"", ""start_time"": ""2026-08-03T14:54:00.000Z""}}"
ibm_aachen,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase15b_quadrature_microcampaign_ibm_aachen,quadrature_qae_mlae,g2,"{""000"": 305, ""001"": 232, ""010"": 211, ""011"": 169, ""100"": 282, ""101"": 253, ""110"": 255, ""111"": 341}",0.0,0.4999999999999996,calibration,DONE,2026-08-12T10:44:46.113783+00:00,sin2,4,g2_n2_midpoint,d9u22ddca1vs73a5sg00,1,"[0, 1, 2]","{""depth"": 11, ""multi_qubit_gate_count"": 4, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 15, ""operation_counts"": {""ccx"": 1, ""h"": 8, ""measure"": 3, ""ucry"": 2, ""ucry_dg"": 1, ""x"": 6, ""z"": 1}, ""size"": 22, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 6}",1131,2,2,0.05224609375000039,0.55224609375,2026-08-12T07:30:52.435431+00:00,cross-backend repeat of the quadratic angle-structured calibration with k=2,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase15b_quadrature_microcampaign_ibm_aachen/20260812T073051Z/circuits/g2_n2_midpoint_k1.qasm,0.5,midpoint,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,True,2026-08-12T07:31:02.003203+00:00,0.005627834005281329,"{""depth"": 57, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 58, ""operation_counts"": {""cz"": 18, ""measure"": 3, ""rz"": 27, ""sx"": 31}, ""size"": 79, ""swap_count"": 0, ""two_qubit_gate_count"": 18, ""width"": 159}",18,0.5,"{""estimated_remaining_seconds"": 3041.0, ""usage_allocation_seconds"": 3240, ""usage_consumed_seconds"": 199, ""usage_limit_reached"": false, ""usage_limit_seconds"": null, ""usage_period"": {""end_time"": ""2027-08-03T14:54:00.000Z"", ""start_time"": ""2026-08-03T14:54:00.000Z""}}"
ibm_aachen,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase15b_quadrature_microcampaign_ibm_aachen,quadrature_qae_mlae,g2,"{""000"": 238, ""001"": 185, ""010"": 225, ""011"": 265, ""100"": 275, ""101"": 252, ""110"": 323, ""111"": 285}",0.0,0.5000000000000002,calibration,DONE,2026-08-12T10:44:46.460278+00:00,sin2,4,g2_n2_midpoint,d9u22dmcseuc73f2h42g,2,"[0, 1, 2]","{""depth"": 19, ""multi_qubit_gate_count"": 7, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 28, ""operation_counts"": {""ccx"": 2, ""h"": 14, ""measure"": 3, ""ucry"": 3, ""ucry_dg"": 2, ""x"": 12, ""z"": 2}, ""size"": 38, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 6}",1135,2,2,0.05419921874999978,0.55419921875,2026-08-12T07:30:52.443094+00:00,cross-backend repeat of the quadratic angle-structured calibration with k=2,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase15b_quadrature_microcampaign_ibm_aachen/20260812T073051Z/circuits/g2_n2_midpoint_k2.qasm,0.5,midpoint,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,True,2026-08-12T07:31:02.541209+00:00,0.0061217499896883965,"{""depth"": 99, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 104, ""operation_counts"": {""cz"": 32, ""measure"": 3, ""rz"": 46, ""sx"": 58}, ""size"": 139, ""swap_count"": 0, ""two_qubit_gate_count"": 32, ""width"": 159}",32,0.5,"{""estimated_remaining_seconds"": 3041.0, ""usage_allocation_seconds"": 3240, ""usage_consumed_seconds"": 199, ""usage_limit_reached"": false, ""usage_limit_seconds"": null, ""usage_period"": {""end_time"": ""2027-08-03T14:54:00.000Z"", ""start_time"": ""2026-08-03T14:54:00.000Z""}}"
ibm_aachen,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase15b_quadrature_microcampaign_ibm_aachen,quadrature_qae_mlae,affine_shifted,"{""000"": 451, ""001"": 254, ""010"": 341, ""011"": 199, ""100"": 92, ""101"": 233, ""110"": 163, ""111"": 315}",0.0,0.3950000000000001,stress,DONE,2026-08-12T10:44:46.852469+00:00,affine,4,affine_shifted_n2_midpoint,d9u22di5hi5c73b1bjrg,0,"[0, 1]","{""depth"": 3, ""multi_qubit_gate_count"": 1, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 2, ""operation_counts"": {""h"": 2, ""measure"": 3, ""ucry"": 1}, ""size"": 6, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 6}",803,2,2,0.0029101562500000733,0.39208984375,2026-08-12T07:30:52.460812+00:00,cross-backend test of the Kingston affine watch case,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase15b_quadrature_microcampaign_ibm_aachen/20260812T073051Z/circuits/affine_shifted_n2_midpoint_k0.qasm,0.395,midpoint,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,True,2026-08-12T07:31:03.015569+00:00,0.003744583111256361,"{""depth"": 22, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 25, ""operation_counts"": {""cz"": 4, ""measure"": 3, ""rz"": 13, ""sx"": 11, ""x"": 1}, ""size"": 32, ""swap_count"": 0, ""two_qubit_gate_count"": 4, ""width"": 159}",4,0.395,"{""estimated_remaining_seconds"": 3041.0, ""usage_allocation_seconds"": 3240, ""usage_consumed_seconds"": 199, ""usage_limit_reached"": false, ""usage_limit_seconds"": null, ""usage_period"": {""end_time"": ""2027-08-03T14:54:00.000Z"", ""start_time"": ""2026-08-03T14:54:00.000Z""}}"
ibm_aachen,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase15b_quadrature_microcampaign_ibm_aachen,quadrature_qae_mlae,affine_shifted,"{""000"": 225, ""001"": 286, ""010"": 293, ""011"": 314, ""100"": 205, ""101"": 227, ""110"": 286, ""111"": 212}",0.0,0.7964779999999996,stress,DONE,2026-08-12T10:44:47.279424+00:00,affine,4,affine_shifted_n2_midpoint,d9u22ducseuc73f2h440,1,"[0, 1]","{""depth"": 11, ""multi_qubit_gate_count"": 4, ""num_clbits"": 3, ""num_qubits"": 3, ""one_qubit_gate_count"": 15, ""operation_counts"": {""ccx"": 1, ""h"": 8, ""measure"": 3, ""ucry"": 2, ""ucry_dg"": 1, ""x"": 6, ""z"": 1}, ""size"": 22, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 6}",930,2,2,0.3423764374999996,0.4541015625,2026-08-12T07:30:52.467664+00:00,cross-backend test of the Kingston affine watch case,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase15b_quadrature_microcampaign_ibm_aachen/20260812T073051Z/circuits/affine_shifted_n2_midpoint_k1.qasm,0.395,midpoint,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,True,2026-08-12T07:31:03.549607+00:00,0.005551957990974188,"{""depth"": 83, ""multi_qubit_gate_count"": 0, ""num_clbits"": 3, ""num_qubits"": 156, ""one_qubit_gate_count"": 92, ""operation_counts"": {""cz"": 20, ""measure"": 3, ""rz"": 44, ""sx"": 46, ""x"": 2}, ""size"": 115, ""swap_count"": 0, ""two_qubit_gate_count"": 20, ""width"": 159}",20,0.395,"{""estimated_remaining_seconds"": 3041.0, ""usage_allocation_seconds"": 3240, ""usage_consumed_seconds"": 199, ""usage_limit_reached"": false, ""usage_limit_seconds"": null, ""usage_period"": {""end_time"": ""2027-08-03T14:54:00.000Z"", ""start_time"": ""2026-08-03T14:54:00.000Z""}}"
ibm_aachen,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase15b_quadrature_microcampaign_ibm_aachen,quadrature_qae_mlae,smooth_bump,"{""0000"": 213, ""0001"": 270, ""0010"": 220, ""0011"": 227, ""0100"": 221, ""0101"": 231, ""0110"": 266, ""0111"": 249, ""1000"": 23, ""1001"": 13, ""1010"": 23, ""1011"": 11, ""1100"": 38, ""1101"": 14, ""1110"": 20, ""1111"": 9}",0.0006403605143229935,0.03397369384765625,stress,DONE,2026-08-12T10:44:47.710720+00:00,beta_bump,8,smooth_bump_n3_midpoint,d9u22ducseuc73f2h44g,0,"[0, 1, 2]","{""depth"": 3, ""multi_qubit_gate_count"": 1, ""num_clbits"": 4, ""num_qubits"": 4, ""one_qubit_gate_count"": 3, ""operation_counts"": {""h"": 3, ""measure"": 4, ""ucry"": 1}, ""size"": 8, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 8}",151,3,2,0.03975677490234375,0.07373046875,2026-08-12T07:30:52.490453+00:00,cross-backend repeat of the smooth low-amplitude quadrature stress case,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase15b_quadrature_microcampaign_ibm_aachen/20260812T073051Z/circuits/smooth_bump_n3_midpoint_k0.qasm,0.03397369384765625,midpoint,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,True,2026-08-12T07:31:03.996881+00:00,0.00411529210396111,"{""depth"": 40, ""multi_qubit_gate_count"": 0, ""num_clbits"": 4, ""num_qubits"": 156, ""one_qubit_gate_count"": 40, ""operation_counts"": {""cz"": 8, ""measure"": 4, ""rz"": 20, ""sx"": 20}, ""size"": 52, ""swap_count"": 0, ""two_qubit_gate_count"": 8, ""width"": 160}",8,0.03333333333333326,"{""estimated_remaining_seconds"": 3041.0, ""usage_allocation_seconds"": 3240, ""usage_consumed_seconds"": 199, ""usage_limit_reached"": false, ""usage_limit_seconds"": null, ""usage_period"": {""end_time"": ""2027-08-03T14:54:00.000Z"", ""start_time"": ""2026-08-03T14:54:00.000Z""}}"
ibm_aachen,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase15b_quadrature_microcampaign_ibm_aachen,quadrature_qae_mlae,smooth_bump,"{""0000"": 167, ""0001"": 203, ""0010"": 181, ""0011"": 173, ""0100"": 172, ""0101"": 171, ""0110"": 164, ""0111"": 205, ""1000"": 83, ""1001"": 50, ""1010"": 143, ""1011"": 30, ""1100"": 151, ""1101"": 28, ""1110"": 108, ""1111"": 19}",0.0006403605143229935,0.27868956511449744,stress,DONE,2026-08-12T10:44:48.115492+00:00,beta_bump,8,smooth_bump_n3_midpoint,d9u22e4rrr5c73blbeeg,1,"[0, 1, 2]","{""depth"": 11, ""multi_qubit_gate_count"": 4, ""num_clbits"": 4, ""num_qubits"": 4, ""one_qubit_gate_count"": 20, ""operation_counts"": {""h"": 11, ""mcx"": 1, ""measure"": 4, ""ucry"": 2, ""ucry_dg"": 1, ""x"": 8, ""z"": 1}, ""size"": 28, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 8}",612,3,2,0.02013855988550256,0.298828125,2026-08-12T07:30:52.499671+00:00,cross-backend repeat of the smooth low-amplitude quadrature stress case,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase15b_quadrature_microcampaign_ibm_aachen/20260812T073051Z/circuits/smooth_bump_n3_midpoint_k1.qasm,0.03397369384765625,midpoint,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,True,2026-08-12T07:31:04.498097+00:00,0.007305333158001304,"{""depth"": 171, ""multi_qubit_gate_count"": 0, ""num_clbits"": 4, ""num_qubits"": 156, ""one_qubit_gate_count"": 172, ""operation_counts"": {""cz"": 41, ""measure"": 4, ""rz"": 74, ""sx"": 97, ""x"": 1}, ""size"": 217, ""swap_count"": 0, ""two_qubit_gate_count"": 41, ""width"": 160}",41,0.03333333333333326,"{""estimated_remaining_seconds"": 3041.0, ""usage_allocation_seconds"": 3240, ""usage_consumed_seconds"": 199, ""usage_limit_reached"": false, ""usage_limit_seconds"": null, ""usage_period"": {""end_time"": ""2027-08-03T14:54:00.000Z"", ""start_time"": ""2026-08-03T14:54:00.000Z""}}"
ibm_aachen,"{""operational"": true, ""pending_jobs"": 4, ""status_msg"": ""active""}",phase15b_quadrature_microcampaign_ibm_aachen,quadrature_qae_mlae,smooth_bump,"{""0000"": 122, ""0001"": 106, ""0010"": 107, ""0011"": 114, ""0100"": 114, ""0101"": 115, ""0110"": 99, ""0111"": 108, ""1000"": 184, ""1001"": 104, ""1010"": 235, ""1011"": 38, ""1100"": 340, ""1101"": 54, ""1110"": 180, ""1111"": 28}",0.0006403605143229935,0.639618137635471,stress,DONE,2026-08-12T10:44:48.572242+00:00,beta_bump,8,smooth_bump_n3_midpoint,d9u22e25hi5c73b1bju0,2,"[0, 1, 2]","{""depth"": 19, ""multi_qubit_gate_count"": 7, ""num_clbits"": 4, ""num_qubits"": 4, ""one_qubit_gate_count"": 37, ""operation_counts"": {""h"": 19, ""mcx"": 2, ""measure"": 4, ""ucry"": 3, ""ucry_dg"": 2, ""x"": 16, ""z"": 2}, ""size"": 48, ""swap_count"": 0, ""two_qubit_gate_count"": 0, ""width"": 8}",1163,3,2,0.07174704388547104,0.56787109375,2026-08-12T07:30:52.512030+00:00,cross-backend repeat of the smooth low-amplitude quadrature stress case,/Users/antoniofalco/Library/CloudStorage/Dropbox/TENSORS/Quantum_TENSORS/IBM_Quantum_Proposal/grover-rudolph-qae-benchmark/results/hardware/phase15b_quadrature_microcampaign_ibm_aachen/20260812T073051Z/circuits/smooth_bump_n3_midpoint_k2.qasm,0.03397369384765625,midpoint,"{""dynamical_decoupling"": {""enable"": true, ""scheduling_method"": ""alap"", ""sequence_type"": ""XY4""}, ""twirling"": {""enable_gates"": true, ""enable_measure"": true, ""num_randomizations"": 32, ""shots_per_randomization"": 64, ""strategy"": ""active-accum""}}",12345,2048,True,2026-08-12T07:31:04.998303+00:00,0.009520458988845348,"{""depth"": 304, ""multi_qubit_gate_count"": 0, ""num_clbits"": 4, ""num_qubits"": 156, ""one_qubit_gate_count"": 302, ""operation_counts"": {""cz"": 76, ""measure"": 4, ""rz"": 123, ""sx"": 176, ""x"": 3}, ""size"": 382, ""swap_count"": 0, ""two_qubit_gate_count"": 76, ""width"": 160}",76,0.03333333333333326,"{""estimated_remaining_seconds"": 3041.0, ""usage_allocation_seconds"": 3240, ""usage_consumed_seconds"": 199, ""usage_limit_reached"": false, ""usage_limit_seconds"": null, ""usage_period"": {""end_time"": ""2027-08-03T14:54:00.000Z"", ""start_time"": ""2026-08-03T14:54:00.000Z""}}"
